物件一覽表,所在地點,取得章節,功能,文字說明
圓鍬,2_1_1 '農場(夜:解謎)',一,道具,圓鍬。有點沉，但用來挖土沒問題。
長椅子,2_1_1 '農場(夜:解謎)',,X,還記得那天晚上，我們坐在這張長椅看星星...。
土堆,2_1_1 '農場(夜:解謎)',,開鎖,一個平凡無奇的土堆，底下似乎有東西。
告示牌,2_1_1 '農場(夜:解謎)',,X,上面寫著「請勿破壞農場，違者必究」。
最顯眼的樹,2_1_1 '農場(夜:解謎)',,X,一顆很高的樹。
蜥蜴,2_1_1 '農場(夜:解謎)',,X,「妳叫我幹嘛？再吵我我就咬你！」。
石頭,2_1_1 '農場(夜:解謎)',,線索,"這顆石頭看起來被移動過。底下好像有東西...。
（獲得道具：命運之輪盒子）"
命運之輪盒子,2_1_1 '農場(夜:解謎)',一,道具、開鎖,貼著塔羅牌命運之輪的盒子。但是蓋子上似乎缺少了東西，所以打不開。
草叢,2_1_1 '農場(夜:解謎)',,線索,"草叢裏頭有一個長得很像硬幣的東西，不知道做啥用的。
（獲得道具：命運之輪）"
命運之輪,2_1_1 '農場(夜:解謎)',一,道具,一個長得像硬幣的東西，不知道要放在哪裡。
風景明信片,2_1_1 '農場(夜:解謎)',一,道具、觸發,
男主的綠色床,2_2_1 'B男宿舍(夜)',,X,我的床。一如往常的亂。
窗戶,2_2_1 'B男宿舍(夜)',,X,每天早上八點整，都會看到一個正妹經過，那是我起床的動力。
紅色椅子,2_2_1 'B男宿舍(夜)',,X,我常常坐在這裡划手機。
藍色靠枕,2_2_1 'B男宿舍(夜)',,線索,底下好像有東西。是鑰匙!一定是上次鑰匙從口袋中掉出來了!(放入道具)
泥濘的排球,2_2_2 '排球場',,道具、開鎖,雖然排球找回來了，但是一定要清乾淨才行阿。
牙刷,2_2_1 'B男宿舍(夜)',,道具,牙刷。現在被我拿來刷小東西。
洗衣粉,2_2_1 'B男宿舍(夜)',,道具,住宿生必備的洗衣粉。
礦泉水,2_2_1 'B男宿舍(夜)',,道具,昨晚買的礦泉水，還有一半沒喝完。
稀釋的泡沫水,道具欄,,道具,可以拿來清洗物品。但缺少了刷子。
自製清洗用具,道具欄,,道具,可以洗東西了。
乾淨的排球,道具欄,,道具、觸發,洗乾淨的排球。上面的傷痕讓我想起了當時亂親C的回憶。
四隻小牛公仔,2_3_2 '女主家裡房間',,線索,可愛的小牛公仔，名字叫做「飛天小牛逼」。分別是黃色、紅色、藍色、粉色。
木製保險櫃(關),2_3_2 '女主家裡房間',,解碼,<孟亦安>有把重要物品鎖起來的習慣。不得不打開了呀...。
木製保險櫃(開),2_3_2 '女主家裡房間',,X,
小牛公仔介紹卡,2_3_2 '女主家裡房間',,線索,"小牛公仔的數字對應卡。上面寫著:「紅色=1,橙色=2,黃色=3,綠色=4,藍色=5,紫色=6黑色=7,粉色=8,咖啡色=9,白色=0」"
日曆,2_3_2 '女主家裡房間',,X,一般的日曆。沒有甚麼特別的。
絨布地毯,2_3_2 '女主家裡房間',,X,通常鑰匙一定藏在地毯底下對吧！看吧我就知..。好吧這裡沒有。
日記,2_3_2 '女主家裡房間',,觸發,
卡片L,2_3_2 '女主家裡房間',,道具,"「春天找到了蝴蝶
夏天找到了薰風」"
卡片E,2_3_2 '女主家裡房間',,道具,「謝謝你，在我身邊」
卡片O,2_3_2 '女主家裡房間',,道具,"「秋天找到了楓葉
冬天找到了寒雪」"
女主家裡房間抽屜鑰匙,2_3_2 '女主家裡房間',,道具,抽屜的鑰匙。
女主家裡房間抽屜,2_3_2 '女主家裡房間',,開鎖,抽屜。一如往常的鎖住了。
卡片V,2_3_2 '女主家裡房間',,道具、觸發,「而我，找到了你」
,,,,
,,,,
,,,,
精美小盒子,2_1_2 'B男書桌',,解碼、觸發,
女主&B男自拍照片,精美小盒子內,,觸發,
農場明信片,2_1_3 'B男書櫃',,線索,農場的明信片。皎潔的月光，深邃的藍色湖泊，碧綠的草原，以及遠方壟罩在夜色的巍峨山脈.......
吊飾,1_2_1 '博雅',,觸發,我送給女主的吊飾。一定是「那件事」之後搞丟了...。
